"species_code","date_added_on","tag_count"
"RWBL","2023-03-24","824"
"SORA","2019-03-14","815"
"YEWA","2019-03-14","807"
"SOSP","2020-10-02","804"
"WTSP","2024-11-03","799"
"MOWA","2019-03-15","797"
"CONW","2019-03-15","794"
"CANG","2020-10-02","790"
"TRES","2019-03-15","771"
"RWBL","2023-03-26","770"
"YHBL","2019-03-15","751"
"GHOW","2020-10-02","735"
"RBGR","2019-03-14","719"
"COLO","2020-10-02","704"
"WIWR","2020-10-02","699"
"AMCO","2019-03-15","695"
"AMCR","2020-10-02","695"
"RUGR","2019-03-14","691"
"BAIS","2019-03-15","683"
"LEFL","2019-03-14","674"
"COLO","2019-03-15","671"
"MAWR","2023-03-25","668"
"SWSP","2020-10-02","660"
"WTSP","2024-01-10","657"
"RUGR","2020-10-02","652"
"MAWR","2023-03-24","634"
"YBSA","2019-03-15","634"
"SACR","2019-03-14","633"
"WCSP","2020-10-02","621"
"FOSP","2024-01-10","616"
"WTSP","2023-02-22","616"
"CONI","2019-03-14","602"
"OCWA","2019-03-14","582"
"BBWA","2019-03-15","580"
"SPPI","2020-10-02","577"
"WTSP","2024-12-04","572"
"MODO","2019-03-15","570"
"DEJU","2024-01-10","567"
"CORA","2020-10-02","559"
"GRYE","2020-10-02","557"
"WTSP","2024-10-29","553"
"HOLA","2020-10-02","546"
"BAWW","2019-03-14","544"
"TEWA","2019-03-18","541"
"MAWR","2023-03-20","535"
"BAIS","2020-10-02","534"
"WTSP","2024-11-24","528"
"CEDW","2019-03-15","528"
"AMRE","2019-03-15","522"
"WTSP","2024-11-05","521"
"BCCH","2019-03-15","519"
"AMRE","2019-03-14","519"
"FOSP","2024-01-12","515"
"CCSP","2019-03-18","514"
"WAVI","2020-10-02","505"
"SORA","2020-10-02","502"
"AMCO","2020-10-02","497"
"WTSP","2024-12-03","495"
"WETA","2019-03-14","492"
"PISI","2019-03-15","491"
"WTSP","2024-10-31","486"
"FOTE","2020-10-02","480"
"BCCH","2020-10-02","477"
"FOSP","2024-01-09","474"
"WETA","2019-03-15","472"
"KILL","2019-03-15","472"
"MAWR","2020-10-02","465"
"VESP","2019-03-14","459"
"WTSP","2019-03-18","457"
"MAWR","2023-03-26","457"
"WTSP","2023-02-21","456"
"MODO","2020-10-02","451"
"WWCR","2019-03-15","449"
"OSFL","2019-03-14","440"
"BRCR","2019-03-15","438"
"RUGR","2019-03-15","437"
"YBSA","2019-03-14","426"
"WTSP","2024-11-02","425"
"HETH","2024-01-10","424"
"WTSP","2024-12-05","422"
"WTSP","2024-11-25","417"
"MAWR","2023-03-21","413"
"GRAJ","2020-10-02","413"
"COLO","2019-03-14","411"
"WTSP","2023-01-20","410"
"BCCH","2019-03-14","408"
"WTSP","2024-10-28","406"
"BHVI","2019-03-15","402"
"BAWW","2019-03-15","400"
"REVI","2024-11-04","398"
"PAWA","2024-01-10","396"
"FOSP","2024-01-13","392"
"DEJU","2024-01-12","391"
"CONW","2020-10-02","391"
"WTSP","2023-01-18","390"
"WEWP","2019-03-14","387"
"GRSP","2020-10-02","387"
"CMWA","2019-03-15","385"
"NOWA","2019-03-15","383"
"YBFL","2019-03-14","383"
"YBSA","2020-10-02","382"
"LISP","2024-01-10","377"
"NOWA","2019-03-14","377"
"RWBL","2023-03-23","373"
"WTSP","2024-01-12","372"
"DEJU","2024-01-09","372"
"WTSP","2023-01-19","370"
"CCLO","2019-03-15","367"
"SWTH","2025-01-09","367"
"SWTH","2023-01-30","367"
"SWTH","2025-01-11","366"
"BRCR","2020-10-02","365"
"WTSP","2024-12-06","362"
"YEWA","2019-03-18","362"
"NSWO","2020-10-02","357"
"LISP","2024-01-12","357"
"AMRE","2020-10-02","356"
"PISI","2019-03-14","356"
"HETH","2023-01-20","356"
"NOFL","2019-03-14","355"
"NHWR","2019-03-14","352"
"AMCO","2019-03-14","346"
"FRGU","2019-03-15","343"
"MALL","2019-03-15","341"
"PAWA","2024-01-12","337"
"WTSP","2024-11-01","336"
"WISN","2024-01-10","333"
"HETH","2023-02-22","332"
"RBNU","2019-03-15","328"
"CONW","2019-03-14","326"
"SAVS","2023-11-27","322"
"OCWA","2019-03-15","322"
"WIWA","2019-03-14","321"
"WTSP","2024-11-22","320"
"WTSP","2023-01-30","317"
"MALL","2020-10-02","315"
"BAOW","2020-10-02","314"
"DEJU","2024-11-24","314"
"MOWA","2019-03-14","314"
"WTSP","2024-12-02","313"
"NOWA","2024-01-10","312"
"WTSP","2023-01-06","312"
"NAWA","2023-01-30","311"
"HETH","2024-01-12","311"
"WTSP","2024-10-24","309"
"MAWR","2023-03-23","307"
"WTSP","2022-11-29","306"
"WTSP","2024-11-23","305"
"BLPW","2024-01-10","304"
"WTSP","2024-01-08","303"
"WEME","2019-10-09","303"
"GRYE","2019-03-14","302"
"DEJU","2024-01-13","300"
"WTSP","2024-01-09","298"
"REVI","2024-11-03","298"
"WTSP","2023-03-18","297"
"HETH","2023-01-18","296"
"EUST","2019-03-15","295"
"WEME","2019-03-18","294"
"HETH","2023-01-19","293"
"FOSP","2024-01-11","292"
"BHCO","2020-10-02","291"
"FOSP","2024-01-19","291"
"HETH","2023-01-10","291"
"WTSP","2024-12-09","290"
"WTSP","2022-03-03","290"
"HOSP","2019-03-15","289"
"WTSP","2024-01-19","289"
"WTSP","2023-01-10","289"
"PAWA","2024-11-24","287"
"RWBL","2019-03-18","287"
"BBMA","2019-03-14","286"
"WTSP","2024-11-27","286"
"WTSP","2023-01-13","285"
"SAVS","2023-11-21","285"
"CMWA","2019-03-14","285"
"WTSP","2024-01-18","284"
"WTSP","2024-11-21","283"
"WILL","2019-03-15","282"
"NAWA","2023-02-22","282"
"WTSP","2022-03-09","281"
"SWTH","2023-02-22","280"
"BOCH","2019-03-15","280"
"BHVI","2019-03-14","280"
"RWBL","2023-03-20","279"
"WTSP","2024-01-13","279"
"REVI","2019-03-18","278"
"WTSP","2023-01-17","278"
"CHSP","2019-03-18","277"
"UPSA","2019-03-15","277"
"WTSP","2024-11-30","277"
"GADW","2019-03-15","276"
"BBWA","2019-03-14","276"
"BBWA","2020-10-02","275"
"HETH","2024-11-24","272"
"MAWR","2023-03-22","272"
"HETH","2024-01-17","271"
"LISP","2024-01-13","270"
"HETH","2024-12-04","270"
"WAVI","2019-03-15","269"
"NOWA","2024-01-12","268"
"RBGR","2020-10-02","268"
"FOSP","2024-01-14","267"
"FOSP","2019-03-14","266"
"HETH","2024-01-23","266"
"LISP","2019-03-18","265"
"FOSP","2024-01-18","264"
"RNEP","2019-03-15","264"
"TUSW","2020-10-02","264"
"SEWR","2020-10-02","264"
"WTSP","2023-03-04","263"
"WTSP","2024-12-08","263"
"WTSP","2023-03-02","262"
"WTSP","2024-01-25","262"
"WISN","2019-03-18","262"
"DEJU","2024-01-11","260"
"LISP","2024-01-09","259"
"WTSP","2024-11-20","259"
"FOSP","2024-01-07","259"
"SWTH","2024-11-24","258"
"WTSP","2022-11-28","257"
"PAWA","2024-01-09","256"
"RWBL","2023-03-22","256"
"WTSP","2023-01-12","255"
"DEJU","2024-12-04","255"
"WTSP","2024-01-11","254"
"AMRO","2019-03-18","253"
"RBNU","2020-10-02","253"
"WTSP","2023-01-04","252"
"WISN","2024-01-15","252"
"WTSP","2024-01-14","252"
"GCKI","2020-10-02","252"
"FOSP","2024-02-01","251"
"HETH","2023-01-04","250"
"GRSP","2019-03-15","250"
"SWTH","2023-11-22","249"
"HETH","2024-01-09","248"
"FOSP","2024-11-24","247"
"HETH","2024-01-15","247"
"PHVI","2019-03-15","246"
"FOSP","2024-01-31","246"
"HETH","2024-01-13","244"
"WTSP","2024-12-07","244"
"RWBL","2023-11-28","244"
"WWCR","2019-03-14","243"
"WTSP","2023-01-31","243"
"WTSP","2024-01-17","242"
"WETA","2020-10-02","242"
"WTSP","2024-02-02","241"
"NAWA","2024-11-04","241"
"REVI","2024-11-05","241"
"WTSP","2023-03-19","240"
"SWTH","2023-11-23","240"
"WTSP","2022-03-02","239"
"FOSP","2024-01-08","239"
"WTSP","2022-12-13","239"
"RWBL","2023-03-27","238"
"NOFL","2019-03-15","238"
"YHBL","2020-10-02","238"
"DEJU","2024-01-07","237"
"COYE","2019-03-18","236"
"DEJU","2024-11-25","236"
"HETH","2024-01-11","235"
"YEWA","2021-10-20","235"
"WEME","2019-10-31","235"
"WIWR","2023-01-30","234"
"WCSP","2024-01-10","234"
"MAGO","2019-03-15","234"
"WTSP","2023-01-16","233"
"DEJU","2024-12-03","233"
"WTSP","2024-11-17","233"
"LISP","2024-11-24","233"
"WTSP","2022-12-27","233"
"WISN","2024-01-12","232"
"DEJU","2024-01-14","231"
"WISN","2024-01-09","231"
"VATH","2019-03-15","231"
"OVEN","2019-03-18","231"
"WISN","2024-01-19","230"
"HETH","2023-01-09","230"
"NAWA","2023-02-21","230"
"WEME","2019-03-14","230"
"DEJU","2024-01-08","229"
"HETH","2024-01-18","229"
"WTSP","2022-12-15","228"
"WTSP","2024-11-13","228"
"WTSP","2022-12-16","227"
"BAIS","2019-10-09","227"
"WTSP","2022-11-21","226"
"FOSP","2024-01-17","225"
"BOGU","2020-10-02","224"
"OVEN","2022-11-16","224"
"NHWR","2019-03-18","224"
"SWTH","2023-02-21","224"
"BLPW","2024-01-12","224"
"PAWA","2020-10-02","223"
"BOCH","2019-03-14","223"
"HETH","2024-01-30","223"
"WISN","2024-01-20","223"
"VATH","2020-10-02","222"
"WTSP","2023-01-03","222"
"ALFL","2019-03-18","221"
"WTSP","2022-11-15","221"
"WTSP","2024-01-22","221"
"WTSP","2024-02-04","221"
"RCKI","2019-03-18","220"
"WISN","2024-01-16","219"
"NAWA","2024-11-03","218"
"HETH","2024-01-26","217"
"AMBI","2019-03-15","217"
"WTSP","2024-11-16","217"
"WTSP","2022-12-02","216"
"EAKI","2019-03-15","216"
"PAWA","2024-01-13","216"
"HETH","2023-12-20","215"
"CEDW","2019-03-14","215"
"SWTH","2019-03-18","214"
"HETH","2024-01-16","214"
"HETH","2023-01-12","214"
"AMCR","2019-03-18","214"
"OSFL","2019-03-15","213"
"WTSP","2023-11-27","213"
"FOSP","2024-01-22","213"
"REVI","2022-11-16","213"
"WTSP","2023-01-21","213"
"DEJU","2024-01-30","212"
"WCSP","2024-01-12","212"
"WTSP","2022-12-12","212"
"WTSP","2024-01-27","211"
"DEJU","2024-01-17","211"
"HETH","2024-01-08","211"
"HETH","2022-12-15","210"
"DEJU","2023-01-20","210"
"HETH","2024-12-03","210"
"PHVI","2019-03-14","210"
"HETH","2024-11-04","210"
"HETH","2024-01-19","210"
"WTSP","2022-03-07","210"
"WTSP","2023-02-23","209"
"WTSP","2022-11-16","209"
"WTSP","2024-03-25","209"
"SWTH","2023-01-24","208"
"RCKI","2024-11-24","208"
"YRWA","2019-03-18","208"
"FOSP","2024-01-27","207"
"WEME","2020-02-24","207"
"DEJU","2024-11-22","207"
"WTSP","2024-11-26","207"
"RBGU","2019-03-15","207"
"WTSP","2024-11-18","207"
"BTNW","2023-01-30","206"
"HETH","2023-02-21","206"
"LISP","2024-01-11","205"
"WTSP","2024-11-28","205"
"PAWA","2023-01-18","204"
"SWTH","2025-01-10","204"
"WTSP","2023-03-17","203"
"LISP","2024-01-08","203"
"WTSP","2023-01-07","202"
"RCKI","2024-01-10","202"
"HETH","2024-01-20","202"
"SAVS","2019-03-18","201"
"WISN","2024-01-18","201"
"LEYE","2019-03-14","201"
"CAWA","2019-03-15","201"
"SWTH","2024-11-22","200"
"DEJU","2023-01-18","200"
"WTSP","2023-01-27","200"
"PAWA","2024-12-04","199"
"HETH","2024-01-24","199"
"WISN","2024-01-13","198"
"NAWA","2023-11-23","198"
"DEJU","2024-11-23","198"
"WTSP","2023-02-03","197"
"BAIS","2019-10-31","197"
"WISN","2024-01-23","196"
"HETH","2024-11-25","196"
"HETH","2024-01-31","196"
"WTSP","2021-10-29","196"
"WTSP","2020-03-30","196"
"YERA","2023-10-26","196"
"WTSP","2021-10-20","196"
"LEFL","2019-03-18","195"
"FOSP","2024-01-15","194"
"FOSP","2024-12-03","194"
"WTSP","2023-01-09","194"
"WTSP","2022-11-19","194"
"FOSP","2024-11-27","193"
"DEJU","2024-11-21","192"
"PAWA","2024-01-08","192"
"WTSP","2023-01-14","192"
"WTSP","2024-01-07","192"
"SACR","2019-03-15","192"
"WTSP","2022-03-01","192"
"WTSP","2024-01-20","191"
"WTSP","2024-10-30","191"
"HETH","2024-11-20","191"
"WISN","2024-01-26","191"
"PAWA","2024-01-11","190"
"WTSP","2024-01-24","190"
"LISP","2024-01-19","190"
"WTSP","2023-01-11","190"
"SAVS","2022-11-29","190"
"LISP","2024-12-03","189"
"SWTH","2022-03-02","189"
"RNGR","2019-03-14","189"
"HETH","2024-01-22","189"
"WTSP","2024-01-23","189"
"RBNU","2019-03-14","189"
"PAWA","2024-12-03","189"
"HETH","2024-11-22","189"
"WTSP","2024-01-31","188"
"HETH","2023-01-07","187"
"RWBL","2023-03-19","186"
"SWTH","2024-11-25","186"
"FOSP","2024-11-18","186"
"SWTH","2023-01-25","185"
"AMGO","2019-03-15","185"
"HETH","2023-01-13","185"
"HETH","2024-02-01","185"
"NOWA","2024-01-09","185"
"DEJU","2024-01-31","184"
"WTSP","2024-11-29","184"
"LISP","2024-01-07","184"
"WTSP","2023-01-05","184"
"SWTH","2024-11-04","184"
"BLTE","2019-03-15","184"
"HETH","2023-01-06","184"
"WTSP","2023-11-24","184"
"SAVS","2023-11-20","183"
"WTSP","2024-04-13","183"
"LISP","2024-01-14","183"
"WTSP","2024-11-15","183"
"DEJU","2023-01-04","183"
"HETH","2024-11-27","182"
"WISN","2024-01-11","182"
"DEJU","2023-01-19","182"
"PAWA","2024-01-19","182"
"HETH","2024-12-02","182"
"FOSP","2024-01-06","182"
"DEJU","2024-11-28","181"
"WTSP","2022-11-30","181"
"AMRO","2024-01-10","181"
"LISP","2024-11-13","181"
"HETH","2022-12-16","181"
"WTSP","2023-03-05","180"
"WTSP","2025-01-10","180"
"SOSA","2019-03-15","180"
"YEWA","2021-10-15","180"
"DEJU","2024-01-06","180"
"BTNW","2020-10-02","180"
"NOFL","2020-10-02","180"
"DEJU","2024-01-18","179"
"WTSP","2022-12-22","179"
"GRYE","2019-03-15","179"
"WISN","2024-01-27","179"
"SAVS","2022-11-30","179"
"RWBL","2023-03-18","179"
"SWSP","2023-03-24","178"
"WTSP","2024-02-23","178"
"DEJU","2024-11-27","178"
"WTSP","2022-03-10","177"
"NOWA","2024-01-13","177"
"DEJU","2024-01-15","177"
"OVEN","2022-11-15","177"
"MAWR","2023-11-03","176"
"WTSP","2021-10-15","176"
"SWSP","2023-03-25","176"
"PAWA","2024-01-14","176"
"WTSP","2021-11-02","176"
"CANG","2022-11-29","175"
"RWBL","2023-11-20","175"
"WTSP","2023-01-25","175"
"PAWA","2023-01-19","175"
"WTSP","2022-12-19","175"
"FOSP","2024-02-02","175"
"BLPW","2024-01-13","175"
"WTSP","2022-11-10","175"
"WTSP","2022-11-22","174"
"HETH","2024-01-25","174"
"DEJU","2024-11-20","173"
"DEJU","2024-01-22","173"
"NESP","2020-10-02","173"
"HETH","2024-01-29","173"
"HETH","2023-01-17","173"
"REVI","2022-11-15","172"
"FOSP","2024-01-30","172"
"AMRO","2024-01-09","172"
"BRBL","2019-03-15","172"
"BHVI","2020-10-02","171"
"WTSP","2024-12-11","171"
"OCWA","2020-10-02","171"
"BTNW","2025-01-11","171"
"VESP","2019-03-18","171"
"WTSP","2020-03-29","171"
"HETH","2024-01-27","171"
"DEJU","2024-02-01","171"
"DEJU","2024-11-16","170"
"RCKI","2023-01-18","170"
"WTSP","2024-01-15","170"
"WTSP","2024-02-01","170"
"WCSP","2024-01-09","169"
"FOSP","2024-11-16","169"
"HETH","2023-01-16","169"
"HETH","2024-11-30","169"
"BTNW","2025-01-09","168"
"REVI","2024-10-29","168"
"SWTH","2025-01-08","168"
"PBGR","2019-03-15","168"
"HETH","2024-11-23","168"
"RCKI","2024-01-12","168"
"NAWA","2023-11-26","167"
"CAWA","2020-10-02","167"
"DEJU","2024-01-25","167"
"AMWI","2019-03-15","167"
"REVI","2024-12-09","167"
"CONI","2019-03-15","167"
"RWBL","2023-11-09","167"
"CAWA","2019-03-14","167"
"LISP","2024-11-16","166"
"HETH","2023-01-03","166"
"MAWA","2020-10-02","165"
"PAWA","2023-01-20","165"
"MAWR","2019-03-15","165"
"SWSP","2023-03-26","165"
"FOSP","2024-12-04","165"
"YERA","2023-10-24","165"
"DEJU","2024-01-19","165"
"AMBI","2019-03-14","165"
"SWTH","2025-01-12","164"
"SWTH","2023-11-26","164"
"WTSP","2022-11-17","164"
"WTSP","2024-01-29","164"
"DEJU","2024-11-18","164"
"WTSP","2023-03-16","163"
"WTSP","2022-11-11","163"
"WTSP","2023-11-21","163"
"WTSP","2025-01-11","163"
"RWBL","2023-11-08","162"
"DEJU","2024-11-13","162"
"WISN","2024-01-17","162"
"RWBL","2023-11-10","162"
"HETH","2024-12-05","162"
"BOGU","2019-03-14","161"
"WTSP","2024-01-30","161"
"HETH","2024-01-07","161"
"MYWA","2020-10-02","161"
"WTSP","2023-12-04","160"
"CMWA","2020-10-02","160"
"DEJU","2024-12-02","160"
"DEJU","2023-01-12","160"
"FOSP","2024-01-25","160"
"LISP","2024-01-18","159"
"WTSP","2023-01-24","159"
"WEWP","2020-10-02","159"
"WCSP","2024-01-13","159"
"FOSP","2024-11-23","158"
"HETH","2024-11-03","158"
"SAVS","2019-10-31","158"
"DEJU","2024-01-27","158"
"WTSP","2023-03-20","157"
"WTSP","2022-12-14","157"
"MAWR","2023-03-17","157"
"OVEN","2023-02-21","157"
"PAWA","2024-11-25","157"
"REVI","2024-12-11","157"
"WTSP","2021-10-21","157"
"LISP","2024-01-31","157"
"HETH","2023-01-11","157"
"WTSP","2023-01-02","157"
"WTSP","2024-12-13","156"
"WTSP","2024-11-11","155"
"HETH","2024-11-13","155"
"HETH","2024-11-21","154"
"WTSP","2020-03-27","154"
"SWSP","2023-11-28","154"
"DEJU","2023-01-10","154"
"WTSP","2023-12-12","154"
"PAWA","2024-11-16","154"
"HETH","2019-03-18","154"
"REVI","2024-10-28","153"
"DEJU","2024-11-11","153"
"HETH","2022-12-13","153"
"HETH","2022-12-24","153"
"WTSP","2024-02-26","153"
"CANG","2023-11-21","153"
"CANG","2019-03-18","153"
"SWTH","2024-11-17","153"
"FOSP","2024-11-21","153"
"DEJU","2024-02-04","153"
"SWTH","2023-01-19","152"
"PAWA","2024-01-27","152"
"YERA","2023-10-19","152"
"REVI","2022-11-19","152"
"WTSP","2023-11-23","152"
"SWTH","2023-11-24","152"
"WEME","2020-02-13","152"
"WTSP","2024-01-28","152"
"WTSP","2023-12-05","152"
"WTSP","2020-03-26","151"
"DEJU","2024-01-23","151"
"RCKI","2024-12-05","151"
"BLPW","2024-01-09","151"
"RWBL","2023-03-21","151"
"LISP","2023-01-20","151"
"LISP","2023-01-19","151"
"DEJU","2023-12-20","151"
"BTNW","2023-11-23","151"
"WTSP","2022-03-08","151"
"BLPW","2024-01-14","151"
"MAWR","2023-03-27","150"
"LISP","2023-01-18","150"
"HETH","2024-11-16","150"
"SWTH","2025-01-07","150"
"FOSP","2024-01-03","150"
"SWTH","2024-11-20","149"
"FOSP","2023-12-20","149"
"FOSP","2024-01-04","149"
"CANG","2022-12-02","149"
"FOSP","2024-11-13","149"
"OVEN","2023-12-12","149"
"RCKI","2024-12-04","148"
"MAWA","2024-11-04","148"
"FOSP","2024-01-26","148"
"FOSP","2024-11-25","148"
"REVI","2023-12-12","148"
"BOOW","2019-03-14","148"
"LISP","2024-11-23","148"
"HETH","2024-01-14","148"
"WTSP","2022-12-01","147"
"SWTH","2024-11-27","147"
"NAWA","2023-11-24","147"
"REVI","2025-01-03","147"
"REVI","2022-11-22","147"
"BLPW","2024-01-19","147"
"WTSP","2020-03-11","147"
"WTSP","2020-03-03","147"
"FOSP","2024-01-29","146"
"LISP","2024-12-04","146"
"REVI","2021-10-20","146"
"WTSP","2022-11-20","146"
"WTSP","2023-02-25","146"
"DEJU","2024-02-02","146"
"LISP","2024-11-21","146"
"BLTE","2019-03-14","145"
"WTSP","2025-01-09","145"
"HETH","2024-02-02","145"
"BLPW","2024-01-07","145"
"WTSP","2024-02-07","145"
"WTSP","2023-02-20","145"
"WTSP","2023-11-22","145"
"WTSP","2024-11-19","144"
"SWTH","2022-03-03","144"
"SPSA","2020-10-02","144"
"WTSP","2021-11-03","144"
"DEJU","2024-11-26","144"
"WISN","2024-01-22","144"
"MAWA","2023-02-22","144"
"RCKI","2023-01-19","144"
"WTSP","2023-01-26","144"
"WTSP","2020-03-25","143"
"MOWA","2024-11-04","143"
"WTSP","2021-11-14","143"
"WTSP","2023-02-28","143"
"WTSP","2019-03-06","143"
"OVEN","2022-11-19","143"
"NAWA","2023-01-27","143"
"LISP","2023-11-27","143"
"REVI","2022-11-17","143"
"SAVS","2022-12-01","143"
"DEJU","2024-11-17","142"
"REVI","2021-10-15","142"
"OSFL","2020-10-02","142"
"SWTH","2022-11-15","142"
"WTSP","2022-03-11","142"
"HETH","2022-12-27","142"
"LISP","2024-11-28","142"
"AMRO","2024-11-04","142"
"CSWA","2024-11-04","142"
"WTSP","2023-04-23","142"
"FOSP","2024-11-26","142"
"PAWA","2024-11-18","142"
"WISN","2024-01-07","141"
"FRGU","2019-03-14","141"
"WTSP","2022-01-06","141"
"MOWA","2020-10-02","141"
"YRWA","2024-01-10","141"
"SWTH","2023-01-20","141"
"FOSP","2024-01-05","141"
"WTSP","2022-08-28","141"
"BBMA","2020-10-02","141"
"AMRO","2024-01-12","140"
"YRWA","2023-01-30","140"
"SAVS","2022-11-28","140"
"TEWA","2018-09-25","139"
"WTSP","2022-12-11","139"
"DEJU","2024-01-26","139"
"FOSP","2024-11-30","139"
"LISP","2024-01-25","139"
"GWTE","2019-03-15","139"
"GCKI","2019-03-15","139"
"WTSP","2024-01-04","139"
"WTSP","2022-11-14","139"
"OVEN","2023-12-04","139"
"WTSP","2024-04-17","138"
"NAWA","2024-10-29","138"
"WTSP","2022-11-24","138"
"HETH","2024-11-17","138"
"CANG","2024-01-10","138"
"FOSP","2024-01-23","138"
"CANG","2023-11-27","138"
"WTSP","2022-11-27","138"
"PIWO","2019-03-14","137"
"FOSP","2024-02-04","137"
"MAWR","2023-03-19","137"
"RNGR","2019-03-15","137"
"WTSP","2021-11-01","137"
"WTSP","2021-11-26","137"
"HETH","2022-12-28","137"
"PAWA","2024-11-27","137"
"SWTH","2024-11-03","136"
"LISP","2024-02-02","136"
"NOWA","2024-01-07","136"
"SWTH","2020-03-30","136"
"HETH","2023-01-05","136"
"WTSP","2020-03-10","136"
"YEWA","2021-11-24","136"
"HETH","2022-12-19","136"
"FOSP","2024-11-28","136"
"AMRO","2024-01-13","135"
"YEWA","2021-10-14","135"
"NAWA","2023-11-20","135"
"SWTH","2022-03-09","135"
"WISN","2024-11-25","135"
"YEWA","2023-03-24","135"
"SWSP","2024-01-10","135"
"SWTH","2023-01-27","135"
"NOWA","2024-01-14","135"
"WCSP","2023-11-27","135"
"WTSP","2020-03-31","135"
"DEJU","2024-01-29","134"
"SWTH","2024-02-27","134"
"WTSP","2023-12-06","134"
"HETH","2024-11-26","134"
"WISN","2024-11-27","134"
"WTSP","2021-11-16","134"
"WISN","2024-01-24","134"
"YRWA","2024-11-24","134"
"WTSP","2024-11-12","134"
"REVI","2023-02-21","134"
"OVEN","2024-12-11","134"
"SAVS","2023-11-28","133"
"SAVS","2022-12-02","133"
"WTSP","2024-02-28","133"
"YERA","2023-10-29","133"
"FOSP","2024-11-22","133"
"PAWA","2024-11-13","133"
"WTSP","2023-11-26","133"
"WISN","2023-11-27","133"
"REVI","2024-02-07","133"
"WTSP","2024-11-08","133"
"RCKI","2024-11-25","133"
"PAWA","2024-01-07","133"
"LCSP","2019-03-18","132"
"CANG","2024-01-09","132"
"YHBL","2019-03-14","132"
"WTSP","2023-02-27","132"
"SWTH","2023-11-21","132"
"PAWA","2024-11-23","132"
"REVI","2024-11-02","132"
"WTSP","2022-12-30","132"
"SWTH","2022-03-01","132"
"DEJU","2024-12-05","131"
"YEWA","2023-03-25","131"
"YERA","2020-10-02","131"
"WTSP","2023-10-25","131"
"DEJU","2024-11-30","131"
"LISP","2024-02-01","131"
"HETH","2024-10-29","131"
"WTSP","2021-11-29","131"
"WISN","2024-01-08","131"
"CSWA","2024-11-03","131"
"WTSP","2022-11-26","131"
"WEWP","2019-03-15","131"
